id,title,deleted_at
1,AC,
2,Acura,
3,Adler,
4,Alfa Romeo,
5,Alpina,
6,Alpine,
7,AMC,
8,Apal,
9,Aro,
10,Asia,
11,Aston Martin,
12,Audi,
13,Aurus,
14,Austin,
15,Austin Healey,
16,Autobianchi,
17,Autocam,
18,Baic,
19,Bajaj,
20,Baltijas Dzips,
21,Batmobile,
22,Beijing,
23,Bentley,
24,Bertone,
25,Bilenkin,
26,Bitter,
27,BMW,
28,Borgward,
29,Brabus,
30,Brilliance,
31,Bristol,
32,Bufori,
33,Bugatti,
34,Buick,
35,BYD,
36,Cadillac,
37,Callaway,
38,Carbodies,
39,Caterham,
40,Chana,
41,Changan,
42,ChangFeng,
43,Changhe,
44,Chery,
45,CheryExeed,
46,Chevrolet,
47,Chrysler,
48,Citroen,
49,Cizeta,
50,Coggiola,
51,Combat,
52,Cord,
53,Dacia,
54,Dadi,
55,Daewoo,
56,Daihatsu,
57,Daimler,
58,Dallara,
59,Dallas,
60,Datsun,
61,De Tomaso,
62,Deco Rides,
63,Delage,
64,DeLorean,
65,Derways,
66,DeSoto,
67,DFSK,
68,DKW,
69,Dodge,
70,DongFeng,
71,Doninvest,
72,Donkervoort,
73,DS,
74,DW Hower,
75,Eagle,
76,Excalibur,
77,FAW,
78,Ferrari,
79,Fiat,
80,Fisker,
81,Flanker,
82,Ford,
83,Foton,
84,FSO,
85,Fuqi,
86,GAC,
87,GAZ,
88,Geely,
89,Genesis,
90,Geo,
91,GMC,
92,Gonow,
93,GP,
94,Great Wall,
95,Hafei,
96,Haima,
97,Hanomag,
98,Haval,
99,Hawtai,
100,Heinkel,
101,Hindustan,
102,Hispano-Suiza,
103,Holden,
104,Honda,
105,Horch,
106,HuangHai,
107,Hudson,
108,Hummer,
109,Hyundai,
110,Infiniti,
111,Innocenti,
112,Iran Khodro,
113,Isdera,
114,Isuzu,
115,IVECO,
116,IZH,
117,JAC,
118,Jaguar,
119,Jeep,
120,Jensen,
121,Jiangnan,
122,Jinbei,
123,JMC,
124,Kanonir,
125,Kia,
126,Koenigsegg,
127,KTM AG,
128,Lamborghini,
129,Lancia,
130,Land Rover,
131,Lexus,
132,Lifan,
133,Ligier,
134,Lincoln,
135,Lotus,
136,LTI,
137,LuAZ,
138,Luxgen,
139,Mahindra,
140,Marcos,
141,Marlin,
142,Marussia,
143,Maruti,
144,Maserati,
145,Maybach,
146,Mazda,
147,McLaren,
148,Mega,
149,Mercedes-Benz,
150,Mercury,
151,Metrocab,
152,MG,
153,Minelli,
154,Mini,
155,Mitsubishi,
156,Mitsuoka,
157,Monte Carlo,
158,Morgan,
159,Moskvich,
160,Nissan,
161,Noble,
162,Oldsmobile,
163,Opel,
164,Packard,
165,Pagani,
166,Panoz,
167,Paykan,
168,Perodua,
169,Peugeot,
170,Plymouth,
171,Pontiac,
172,Porsche,
173,Premier,
174,Proton,
175,PUCH,
176,Puma,
177,Racing car,
178,RAM,
179,Ravon,
180,Reliant,
181,Renault,
182,Renault Samsung,
183,Rezvani,
184,Rimac,
185,Rinspeed,
186,Rolls-Royce,
187,Ronart,
188,Rover,
189,Saab,
190,Saipa,
191,Santana,
192,Saturn,
193,Scion,
194,Sears,
195,SEAT,
196,Shanghai Maple,
197,Shifeng,
198,ShuangHuan,
199,Simca,
200,Skoda,
201,SMA,
202,Smart,
203,SMZ,
204,Soueast,
205,Spectre,
206,SsangYong,
207,Studebaker,
208,Subaru,
209,Suzuki,
210,TagAZ,
211,Talbot,
212,Tata,
213,Tatra,
214,Tesla,
215,Tianma,
216,Tofas,
217,Toyota,
218,Trabant,
219,Triumph,
220,TVR,
221,UAZ,
222,Ultima,
223,Vauxhall,
224,VAZ (Lada),
225,Vector,
226,Venturi,
227,Volkswagen,
228,Volvo,
229,Wanderer,
230,Wartburg,
231,Wiesmann,
232,Willys,
233,Wuling,
234,Xin Kai,
235,Yulon,
236,Zastava,
237,ZAZ,
238,Zibar,
239,ZIL,
240,ZiS,
241,Zotye,
242,ZX,
